Month,Day,Hour,Minute,Temperature,DNI,DHI,GHI
1,5,3,20,-3.2,0,0,0
1,5,3,30,-3.2,0,0,0
1,5,3,40,-3.2,0,0,0
1,5,3,50,-3.2,0,0,0
1,5,4,0,-3.3,0,0,0
1,5,4,10,-3.2,0,0,0
1,5,4,20,-3.2,0,0,0
1,5,4,30,-3.2,0,0,0
1,5,4,40,-3.2,0,0,0
1,5,4,50,-3.2,0,0,0
1,5,5,0,-3.2,0,0,0
1,5,5,10,-3.2,0,0,0
1,5,5,20,-3.2,0,0,0
1,5,5,30,-3.2,0,0,0
1,5,5,40,-3.3,0,0,0
1,5,5,50,-3.3,0,0,0
1,5,6,0,-3.3,0,0,0
1,5,6,10,-3.3,0,0,0
1,5,6,20,-3.3,0,0,0
1,5,6,30,-3.3,0,0,0
1,5,6,40,-3.3,0,0,0
1,5,6,50,-3.3,0,0,0
1,5,7,0,-3.3,0,0,0
1,5,7,10,-2.9,0,0,0
1,5,7,20,-2.6,0,0,0
1,5,7,30,-2.2,0,0,0
1,5,7,40,-1.9,306,17,30
1,5,7,50,-1.5,407,23,52
1,5,8,0,-1.2,489,28,76
1,5,8,10,-0.8,556,33,101
1,5,8,20,-0.5,612,37,128
1,5,8,30,-0.1,658,40,155
1,5,8,40,0.2,700,43,182
1,5,8,50,0.6000000000000001,733,45,209
1,5,9,0,0.9,762,48,235
1,5,9,10,1.1,787,50,260
1,5,9,20,1.3,809,52,285
1,5,9,30,1.5,828,54,309
1,5,9,40,1.8,843,56,331
1,5,9,50,2,858,57,353
1,5,10,0,2.2,871,58,373
1,5,10,10,2.3000000000000003,882,60,392
1,5,10,20,2.5,892,61,409
1,5,10,30,2.6,901,62,426
1,5,10,40,2.7,915,61,441
1,5,10,50,2.9000000000000004,921,61,454
1,5,11,0,3,927,62,466
1,5,11,10,3.1,931,62,476
1,5,11,20,3.2,935,63,484
1,5,11,30,3.3000000000000003,938,63,491
1,5,11,40,3.3000000000000003,937,64,496
1,5,11,50,3.4000000000000004,947,65,503
1,5,12,0,3.5,948,65,505
1,5,12,10,3.5,948,65,505
1,5,12,20,3.5,947,65,503
1,5,12,30,3.5,946,64,500
1,5,12,40,3.5,943,64,495
1,5,12,50,3.6,941,64,488
1,5,13,0,3.6,937,63,480
1,5,13,10,3.5,932,63,470
1,5,13,20,3.5,142,264,325
1,5,13,30,3.4000000000000004,920,62,445
1,5,13,40,3.4000000000000004,277,225,337
1,5,13,50,3.3000000000000003,230,226,316
1,5,14,0,3.3000000000000003,169,227,290
1,5,14,10,3.1,346,172,297
1,5,14,20,2.9000000000000004,184,184,247
1,5,14,30,2.8000000000000003,159,168,220
1,5,14,40,2.6,200,153,215
1,5,14,50,2.4000000000000004,393,122,236
1,5,15,0,2.2,269,139,212
1,5,15,10,1.9000000000000001,37,123,132
1,5,15,20,1.5,2,55,55
1,5,15,30,1.1,14,83,86
1,5,15,40,0.7000000000000001,30,91,97
1,5,15,50,0.4,0,30,30
1,5,16,0,0,0,21,21
1,5,16,10,-0.2,0,17,17
1,5,16,20,-0.3,0,11,11
1,5,16,30,-0.4,0,14,14
1,5,16,40,-0.6,0,2,2
1,5,16,50,-0.7,0,0,0
1,5,17,0,-0.8,0,0,0
1,5,17,10,-0.9,0,0,0
1,5,17,20,-0.9,0,0,0
1,5,17,30,-0.9,0,0,0
1,5,17,40,-0.9,0,0,0
1,5,17,50,-1,0,0,0
1,5,18,0,-1,0,0,0
1,5,18,10,-1,0,0,0
1,5,18,20,-1.1,0,0,0
1,5,18,30,-1.1,0,0,0
1,5,18,40,-1.1,0,0,0
1,5,18,50,-1.2,0,0,0
1,5,19,0,-1.2,0,0,0
1,5,19,10,-1.3,0,0,0
1,5,19,20,-1.3,0,0,0
1,5,19,30,-1.4,0,0,0
1,5,19,40,-1.4,0,0,0
1,5,19,50,-1.5,0,0,0
1,5,20,0,-1.5,0,0,0
1,5,20,10,-1.6,0,0,0
1,5,20,20,-1.7,0,0,0
1,5,20,30,-1.7,0,0,0
1,5,20,40,-1.8,0,0,0
1,5,20,50,-1.8,0,0,0
1,5,21,0,-1.9,0,0,0
1,5,21,10,-2,0,0,0
1,5,21,20,-2,0,0,0
1,5,21,30,-2.1,0,0,0
1,5,21,40,-2.1,0,0,0
1,5,21,50,-2.2,0,0,0
1,5,22,0,-2.3,0,0,0
1,5,22,10,-2.3,0,0,0
1,5,22,20,-2.4,0,0,0
1,5,22,30,-2.5,0,0,0
1,5,22,40,-2.6,0,0,0
1,5,22,50,-2.6,0,0,0
1,5,23,0,-2.7,0,0,0
1,5,23,10,-2.7,0,0,0
1,5,23,20,-2.7,0,0,0
1,5,23,30,-2.7,0,0,0
1,5,23,40,-2.7,0,0,0
1,5,23,50,-2.7,0,0,0
1,6,0,0,-2.7,0,0,0
1,6,0,10,-2.8,0,0,0
1,6,0,20,-2.8,0,0,0
1,6,0,30,-2.9,0,0,0
1,6,0,40,-3,0,0,0
1,6,0,50,-3,0,0,0
